REF_DATE,GEO,North American Product Classification System (NAPCS),VALUE,STATUS,Classification Code for North American Product Classification System (NAPCS)
1981-11,Canada,Pulpwood [13112],101.2,NA,[13112]
1981-11,Canada,Natural rubber [282M],47.1,NA,[282M]
1981-11,Canada,Iron ores and concentrates [151],44.1,NA,[151]
1981-11,Canada,Copper ores and concentrates [152],31.1,NA,[152]
1981-11,Canada,Nickel ores and concentrates [153],43.2,NA,[153]
1981-11,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-11,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",26.3,NA,[15511]
1981-11,Canada,Waste and scrap of iron and steel [15611],61.5,NA,[15611]
1981-11,Canada,Waste and scrap of non-ferrous metals [15612],25.3,NA,[15612]
1981-12,Canada,"Total, Raw materials price indexes (RMPI)",42.5,NA,NA
1981-12,Canada,Crude energy products [M51],39,NA,[M51]
1981-12,Canada,Conventional crude oil [14111],40.4,NA,[14111]
1981-12,Canada,Natural gas [142],90.6,NA,[142]
1981-12,Canada,Hard coal [14411],68.4,NA,[14411]
1981-12,Canada,"Total, excluding crude energy products",43.8,NA,NA
1981-12,Canada,Crop products [M11],51.2,NA,[M11]
1981-12,Canada,Wheat [112],60.8,NA,[112]
1981-12,Canada,Canola (including rapeseed) [113],58.7,NA,[113]
1981-12,Canada,Fresh potatoes [11421],25,NA,[11421]
1981-12,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],58.4,NA,[11422]
1981-12,Canada,Animals and animal products [M21],51.6,NA,[M21]
1981-12,Canada,Cattle and calves [11111],50,NA,[11111]
1981-12,Canada,Hogs [11112],85.7,NA,[11112]
1981-12,Canada,Poultry [11113],68.7,NA,[11113]
1981-12,Canada,Eggs in shell [11611],48.2,NA,[11611]
1981-12,Canada,Unprocessed milk [11612],36.7,NA,[11612]
1981-12,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",45.6,NA,[121]
1981-12,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",45.6,NA,[12111]
1981-12,Canada,Non-metallic minerals [M31],37.7,NA,[M31]
1981-12,Canada,Stone [16211],32.9,NA,[16211]
1981-12,Canada,Logs and bolts [13111],33.8,NA,[13111]
1981-12,Canada,Pulpwood [13112],100.5,NA,[13112]
1981-12,Canada,Natural rubber [282M],48.7,NA,[282M]
1981-12,Canada,Iron ores and concentrates [151],44.3,NA,[151]
1981-12,Canada,Copper ores and concentrates [152],29.9,NA,[152]
1981-12,Canada,Nickel ores and concentrates [153],41.6,NA,[153]
1981-12,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-12,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",26.8,NA,[15511]
1981-12,Canada,Waste and scrap of iron and steel [15611],60.2,NA,[15611]
1981-12,Canada,Waste and scrap of non-ferrous metals [15612],24.3,NA,[15612]
1982-01,Canada,"Total, Raw materials price indexes (RMPI)",44.1,NA,NA
1982-01,Canada,Crude energy products [M51],41.6,NA,[M51]
1982-01,Canada,Conventional crude oil [14111],43.5,NA,[14111]
1982-01,Canada,Natural gas [142],89.8,NA,[142]
1982-01,Canada,Hard coal [14411],68.1,NA,[14411]
1982-01,Canada,"Total, excluding crude energy products",44.2,NA,NA
1982-01,Canada,Crop products [M11],52.7,NA,[M11]
1982-01,Canada,Wheat [112],61.8,NA,[112]
1982-01,Canada,Canola (including rapeseed) [113],60.1,NA,[113]
1982-01,Canada,Fresh potatoes [11421],25.7,NA,[11421]
1982-01,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],69.1,NA,[11422]
1982-01,Canada,Animals and animal products [M21],51.8,NA,[M21]
1982-01,Canada,Cattle and calves [11111],49.2,NA,[11111]
1982-01,Canada,Hogs [11112],86.2,NA,[11112]
1982-01,Canada,Poultry [11113],68.4,NA,[11113]
1982-01,Canada,Eggs in shell [11611],47.9,NA,[11611]
1982-01,Canada,Unprocessed milk [11612],38.1,NA,[11612]
1982-01,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",45,NA,[121]
1982-01,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",45,NA,[12111]
1982-01,Canada,Non-metallic minerals [M31],39.9,NA,[M31]
1982-01,Canada,Stone [16211],34.1,NA,[16211]
1982-01,Canada,Logs and bolts [13111],33.8,NA,[13111]
1982-01,Canada,Pulpwood [13112],100.5,NA,[13112]
1982-01,Canada,Natural rubber [282M],48.9,NA,[282M]
1982-01,Canada,Iron ores and concentrates [151],44.3,NA,[151]
1982-01,Canada,Copper ores and concentrates [152],29.2,NA,[152]
1982-01,Canada,Nickel ores and concentrates [153],42.2,NA,[153]
1982-01,Canada,Radioactive ores and concentrates [154],77.7,NA,[154]
